ID,PaperID,Theme
1,1732404,
2,1732405,
3,1732406,
4,1732407,
5,1732408,
6,1732409,'Cosmology'
7,1732409, 'Physical Sciences'
8,1732409, 'Physical Cosmology'
9,1732409, 'Cosmic Microwave Background'
10,1732410,'Physical Sciences'
11,1732410, 'Theoretical Physics'
12,1732410, 'Foundations of Quantum Mechanics'
13,1732410, 'Hamiltonian'
14,1732411,'Ornithology'
15,1732411, 'Biological Science'
16,1732411, 'Zoology'
17,1732411, 'birds'
18,1732411, 'Electron'
19,1732412,'Mathematics'
20,1732412, 'Graphs'
21,1732413,'Thin Films Synthesis'
22,1732413, 'Material Synthesis'
23,1732413, 'Physics'
24,1732413, 'Materials Science'
25,1732413, 'Metallization'
26,1732414,'Physical Sciences'
27,1732414, 'Cosmology'
28,1732414, 'Physical Cosmology'
29,1732414, 'Cosmic Microwave Background'
30,1732415,
31,1732416,'Physical Sciences'
32,1732416, 'Electromagnetic Phenomena'
33,1732416, 'Electromagnetism'
34,1732416, 'Bremsstrahlung'
35,1732417,'Physical Sciences'
36,1732417, 'Particle Physics'
37,1732417, 'Elementary Particle Physics'
38,1732417, 'High Energy Physics'
39,1732418,
40,1732419,'Cosmology'
41,1732419, 'galaxies'
42,1732420,
43,1732421,
44,1732422,'Physical Sciences'
45,1732422, 'Plasma Physics'
46,1732422, 'Magnetohydrodynamics'
47,1732423,
48,1732424,'Cosmology'
49,1732424, 'Physical Sciences'
50,1732424, 'Physical Cosmology'
51,1732424, 'Dark Matter'
52,1732425,
53,1732426,
54,1732427,'Physical Sciences'
55,1732427, 'Cosmology'
56,1732427, 'Physical Cosmology'
57,1732427, 'Cosmic Microwave Background'
58,1732429,
59,1732430,'Universe'
60,1732430, 'Galaxy'
61,1732430, 'Astronomy'
62,1732430, 'Space Science'
63,1732430, 'Dust'
64,1732431,
65,1732432,
66,1732433,
67,1732434,
68,1732435,
69,1732436,
70,1732437,'Sound Studies'
71,1732437, 'History'
72,1732437, 'Musicology'
73,1732437, 'Resonance'
74,1732438,
75,1732439,'Cosmology'
76,1732439, 'galaxies'
77,1732440,'Cosmology'
78,1732440, 'Physical Cosmology'
79,1732440, 'Physics'
80,1732440, 'Dark Matter'
81,1732441,'Physics'
82,1732441, 'Electromagnetism'
83,1732441, 'Scattering'
84,1732442,
85,1732443,
86,1732444,
87,1732445,
88,1732446,'Clinical Psychology'
89,1732446, 'Psychology'
90,1732446, 'Power (Psychology)'
91,1732447,
92,1732448,
93,1732449,
94,1732450,
95,1732451,'Mathematics'
96,1732451, 'Algebra'
97,1732452,'Astrophysics'
98,1732452, 'Supernovae'
99,1732452, 'Space Science'
100,1732452, 'Supernova Remnants'
101,1732453,'Physics'
102,1732453, 'Atomic
103,1732453, Molecular and Optical Physics'
104,1732453, 'Ionization'
105,1732454,'Universe'
106,1732454, 'Astronomy'
107,1732454, 'Space Science'
108,1732454, 'Galaxy'
109,1732455,
110,1732456,
111,1732457,
112,1732458,'Cosmology'
113,1732458, 'galaxies'
114,1732460,'Darkness'
115,1732461,
116,1732462,
117,1732463,
118,1732464,
119,1732465,
120,1732466,
121,1732467,'Optical Devices'
122,1732467, 'Physics'
123,1732467, 'Optics'
124,1732467, 'Lenses'
125,1732468,'Cosmology'
126,1732468, 'Physics'
127,1732468, 'Quantum Cosmology'
128,1732469,'Planetary Science'
129,1732469, 'Astronomy'
130,1732469, 'Space Science'
131,1732469, 'Pluto'
132,1732470,
133,1732471,
134,1732472,'Astrophysics'
135,1732472, 'Space Science'
136,1732472, 'Star Formation'
137,1732473,'Physics'
138,1732473, 'Geophysics'
139,1732473, 'Magnetics'
140,1732474,'Algebra'
141,1732474, 'Abstract Algebra'
142,1732474, 'Mathematics'
143,1732474, 'Representation Theory'
144,1732475,
145,1732476,'Astrophysics'
146,1732476, 'Space Science'
147,1732476, 'Gamma-Ray Bursts'
148,1732477,'Biomedical Instrumentation'
149,1732477, 'Medical Engineering'
150,1732477, 'Biomedical Devices'
151,1732477, 'Engineering'
152,1732477, 'X-Ray Sources'
153,1732478,'Celestial Mechanics'
154,1732478, 'Orbital Mechanics'
155,1732478, 'Astronomy'
156,1732478, 'Space Science'
157,1732478, 'Orbital Dynamics'
158,1732479,'Celestial Mechanics'
159,1732479, 'Orbital Mechanics'
160,1732479, 'Astronomy'
161,1732479, 'Space Science'
162,1732479, 'Orbital Dynamics'
163,1732480,'Space Science'
164,1732480, 'Astrophysics'
165,1732481,'Astronomical Objects'
166,1732481, 'Astronomy'
167,1732481, 'Space Science'
168,1732481, 'Black Holes'
169,1732482,'Physics'
170,1732482, 'Plasma Physics'
171,1732482, 'Magnetohydrodynamics'
172,1732483,
173,1732484,'Astronomical Objects'
174,1732484, 'Astronomy'
175,1732484, 'Space Science'
176,1732484, 'Quasars'
177,1732485,
178,1732486,'Parity'
179,1732487,'Acceleration'
180,1732488,
181,1732489,
182,1732490,'Astrophysics'
183,1732490, 'Space Science'
184,1732490, 'Supernovae'
185,1732491,'Cosmology'
186,1732491, 'Physical Cosmology'
187,1732491, 'Physics'
188,1732491, 'Cosmic Microwave Background'
189,1732492,'Planetary Science'
190,1732492, 'Astronomy'
191,1732492, 'Space Science'
192,1732492, 'Planets'
193,1732493,
194,1732494,
195,1732495,
196,1732496,
197,1732497,'Eye Anatomy'
198,1732497, 'Medicine'
199,1732497, 'Ophthalmology'
200,1732497, 'Orbit'
201,1732498,
202,1732499,
203,1732500,'Astronomical Objects'
204,1732500, 'Astronomy'
205,1732500, 'Space Science'
206,1732500, 'Quasars'
207,1732501,'General Surgery'
208,1732501, 'Operating'
209,1732502,'Fluid Mechanics'
210,1732502, 'Thermofluid'
211,1732502, 'Thermal Engineering'
212,1732502, 'Engineering'
213,1732502, 'Fluid Dynamics'
214,1732502, 'Newtonian Dynamics'
215,1732502, 'Damping'
216,1732503,
217,1732504,'Galaxy'
218,1732504, 'Universe'
219,1732504, 'Galactic Center'
220,1732504, 'Astronomy'
221,1732504, 'Space Science'
222,1732504, 'AGN'
223,1732505,'Universe'
224,1732505, 'Astronomy'
225,1732505, 'Space Science'
226,1732505, 'Stars'
227,1732506,'Thin Films Synthesis'
228,1732506, 'Material Synthesis'
229,1732506, 'Physics'
230,1732506, 'Materials Science'
231,1732506, 'Metallization'
232,1732507,
233,1732508,
234,1732509,'Astronomical Objects'
235,1732509, 'Astronomy'
236,1732509, 'Space Science'
237,1732509, 'Black Holes'
238,1732510,'Radioactivity'
239,1732510, 'Physics'
240,1732510, 'Nuclear Physics'
241,1732510, 'Gamma Rays'
242,1732511,
243,1732512,'Cosmology'
244,1732512, 'Physical Cosmology'
245,1732512, 'Physics'
246,1732512, 'Cosmic Microwave Background'
247,1732513,
248,1732514,
249,1732515,'Astronomical Instrumentation'
250,1732515, 'Astronomy'
251,1732515, 'Observational Astronomy'
252,1732515, 'Space Science'
253,1732515, 'Telescope'
254,1732516,'Methodology'
255,1732516, 'Spectrophotometry'
256,1732516, 'Infrared Spectroscopy'
257,1732517,'Universe'
258,1732517, 'Neutron Star'
259,1732517, 'Astronomy'
260,1732517, 'Space Science'
261,1732517, 'Stars'
262,1732517, 'Pulsars'
263,1732518,'Cosmology'
264,1732518, 'Mass'
265,1732519,'Astrophysics'
266,1732519, 'Space Science'
267,1732519, 'Supernovae'
268,1732520,'Cosmology'
269,1732520, 'Physical Cosmology'
270,1732520, 'Physics'
271,1732520, 'Dark Matter'
272,1732521,'Stars'
273,1732521, 'Universe'
274,1732521, 'Star Clusters'
275,1732521, 'Astronomy'
276,1732521, 'Space Science'
277,1732521, 'Globular Clusters'
278,1732522,'Apiaceae'
279,1732522, 'Laser'
280,1732523,'Universe'
281,1732523, 'Galaxy'
282,1732523, 'Astronomy'
283,1732523, 'Space Science'
284,1732523, 'Dust'
285,1732524,'Astronomical Instrumentation'
286,1732524, 'Astronomy'
287,1732524, 'Observational Astronomy'
288,1732524, 'Space Science'
289,1732524, 'Telescopes'
290,1732525,
291,1732526,
292,1732527,'Universe'
293,1732527, 'Binary Stars'
294,1732527, 'Astronomy'
295,1732527, 'Space Science'
296,1732527, 'Stars'
297,1732527, 'X-ray Binaries'
298,1732528,'Amphibians'
299,1732528, 'Anura'
300,1732528, 'Tetrapoda'
301,1732528, 'Syncope'
302,1732529,'Econ'
303,1732529, 'Monetary Economics'
304,1732529, 'Economic Inflation'
305,1732530,
306,1732531,'Econ'
307,1732531, 'Development Economics'
308,1732531, 'Transition'
309,1732532,
310,1732533,'Experimental Physics'
311,1732533, 'X-Ray'
312,1732534,'Optical Devices'
313,1732534, 'Physics'
314,1732534, 'Optics'
315,1732534, 'Lenses'
316,1732535,'Cosmology'
317,1732535, 'galaxies'
318,1732536,'Econ'
319,1732536, 'Real Estate Economics'
320,1732536, 'Fees and Charges'
321,1732537,
322,1732538,'Universe'
323,1732538, 'Astronomy'
324,1732538, 'Space Science'
325,1732538, 'Stars'
326,1732539,
327,1732540,
328,1732541,
329,1732542,'Physics'
330,1732542, 'Atomic
331,1732542, Molecular and Optical Physics'
332,1732542, 'Ionization'
333,1732543,
334,1732544,'Cosmology'
335,1732544, 'galaxies'
336,1732545,'Optical Devices'
337,1732545, 'Physics'
338,1732545, 'Optics'
339,1732545, 'Lenses'
340,1732546,
341,1732547,
342,1732548,'Philosophical Logic'
343,1732548, 'Philosophy'
344,1732548, 'Paradox'
345,1732549,'Experimental Physics'
346,1732549, 'X-Ray'
347,1732550,'Space Science'
348,1732550, 'Astrophysics'
349,1732551,'Cosmology'
350,1732551, 'galaxies'
351,1732552,
352,1732553,'Universe'
353,1732553, 'Neutron Star'
354,1732553, 'Astronomy'
355,1732553, 'Space Science'
356,1732553, 'Stars'
357,1732553, 'Pulsars'
358,1732554,
359,1732555,
360,1732556,
361,1732557,
362,1732558,
363,1732559,'Gynaecology'
364,1732559, 'Screening'
365,1732560,
366,1732561,'Astrophysics'
367,1732561, 'Space Science'
368,1732561, 'Gamma-Ray Bursts'
369,1732562,'Fluid Mechanics'
370,1732562, 'Thermofluid'
371,1732562, 'Thermal Engineering'
372,1732562, 'Engineering'
373,1732562, 'Fluid Dynamics'
374,1732562, 'Boundary Layer'
375,1732563,
376,1732564,'Composites'
377,1732564, 'Materials'
378,1732564, 'Physics'
379,1732564, 'Materials Science'
380,1732564, 'Shell'
381,1732565,
382,1732566,
383,1732567,'Scintillations'
384,1732568,
385,1732569,'Engineering'
386,1732569, 'Chemical Engineering'
387,1732569, 'Mass Transfer'
388,1732570,
389,1732571,'Electromagnetic Fields'
390,1732571, 'Physics'
391,1732571, 'Electromagnetism'
392,1732571, 'Electromagnetic Radiation'
393,1732572,'Space Science'
394,1732572, 'Astrophysics'
395,1732573,
396,1732574,'Space Plasma Physics'
397,1732574, 'Physics'
398,1732574, 'Plasma Physics'
399,1732574, 'Magnetosphere'
400,1732575,'Universe'
401,1732575, 'Astronomy'
402,1732575, 'Space Science'
403,1732575, 'Stars'
404,1732575, 'Neutron Star'
405,1732576,
406,1732577,'Cosmology'
407,1732577, 'galaxies'
408,1732578,'Universe'
409,1732578, 'Galaxy'
410,1732578, 'Astronomy'
411,1732578, 'Space Science'
412,1732578, 'Dust'
413,1732579,'Geodesy and Surveying'
414,1732579, 'Magnetic Fields'
415,1732580,'Astrophysics'
416,1732580, 'Space Science'
417,1732580, 'Planetary Nebulae'
418,1732581,
419,1732582,'Universe'
420,1732582, 'Binary Stars'
421,1732582, 'Astronomy'
422,1732582, 'Space Science'
423,1732582, 'Stars'
424,1732582, 'X-ray Binaries'
425,1732583,'Cosmology'
426,1732583, 'galaxies'
427,1732584,'Astrophysics'
428,1732584, 'Space Science'
429,1732584, 'Star Formation'
430,1732585,'Cosmology'
431,1732585, 'galaxies'
432,1732586,'Accelerator Physics'
433,1732586, 'Collimators'
434,1732588,'Physics'
435,1732588, 'Plasma Physics'
436,1732588, 'Tokamak'
437,1732589,
438,1732590,
439,1732591,
440,1732592,
441,1732593,'Psychological Disorders'
442,1732593, 'Clinical Psychology'
443,1732593, 'Psychology'
444,1732593, 'Post-Traumatic Stress Disorder'
445,1732593, 'Combat Disorders'
446,1732594,'Supernovae'
447,1732594, 'Astrophysics'
448,1732594, 'Space Science'
449,1732594, 'Supernova Remnants'
450,1732595,
451,1732596,
452,1732597,'Statistical Analysis'
453,1732597, 'Biomedical Signal Processing'
454,1732597, 'Simple Statistical Analysis'
455,1732597, 'Biosignals'
456,1732597, 'Physiology'
457,1732597, 'Probability Distributions'
458,1732598,
459,1732599,'Thin Films Synthesis'
460,1732599, 'Material Synthesis'
461,1732599, 'Physics'
462,1732599, 'Materials Science'
463,1732599, 'Metallization'
464,1732600,'Cosmology'
465,1732600, 'galaxies'
466,1732601,'Cosmology'
467,1732601, 'galaxies'
468,1732602,
469,1732603,'Universe'
470,1732603, 'Astronomy'
471,1732603, 'Space Science'
472,1732603, 'Stars'
473,1732604,
474,1732605,'Universe'
475,1732605, 'Astronomy'
476,1732605, 'Space Science'
477,1732605, 'Stars'
478,1732606,'Cosmology'
479,1732606, 'Physics'
480,1732606, 'Galactic Dynamics'
481,1732606, 'Galaxy Formation'
482,1732607,
483,1732608,
484,1732609,
485,1732610,
486,1732611,
487,1732612,'Optical Devices'
488,1732612, 'Physics'
489,1732612, 'Optics'
490,1732612, 'Photonic Crystals'
491,1732613,
492,1732614,
493,1732615,
494,1732616,
495,1732617,'Physics'
496,1732617, 'Electromagnetism'
497,1732617, 'Magnetism'
498,1732618,'Wireless Communications'
499,1732618, 'Communication Systems'
500,1732618, 'Digital Communications'
501,1732618, 'Engineering'
502,1732618, 'Communication Engineering'
503,1732618, 'Optical Engineering'
504,1732618, 'Radio'
505,1732619,'Stars'
506,1732619, 'Universe'
507,1732619, 'Astronomy'
508,1732619, 'Space Science'
509,1732619, 'White Dwarfs'
510,1732620,'Cosmology'
511,1732620, 'galaxies'
512,1732621,
513,1732622,
514,1732623,
515,1732625,'Financial Accounting'
516,1732625, 'Accounting'
517,1732625, 'Mergers and Acquisitions'
518,1732625, 'Economics'
519,1732625, 'Financial Economics'
520,1732625, 'Mergers'
521,1732626,'Universe'
522,1732626, 'Binary Stars'
523,1732626, 'Astronomy'
524,1732626, 'Space Science'
525,1732626, 'Stars'
526,1732626, 'X-ray Binaries'
527,1732627,'Probability Theory'
528,1732627, 'Stochastic'
529,1732628,
530,1732629,
531,1732630,'Accounting'
532,1732630, 'Economics'
533,1732630, 'Financial Economics'
534,1732630, 'Auditing'
535,1732631,'Cosmology'
536,1732631, 'galaxies'
537,1732632,'Stars'
538,1732632, 'Universe'
539,1732632, 'Binary Stars'
540,1732632, 'Astronomy'
541,1732632, 'Space Science'
542,1732632, 'X-ray Binaries'
543,1732633,'Engineering'
544,1732633, 'Acoustic Engineering'
545,1732633, 'Noise'
546,1732634,'Radio Astronomy'
547,1732634, 'Astronomy'
548,1732634, 'Observational Astronomy'
549,1732634, 'Space Science'
550,1732634, 'VLBI'
551,1732635,'Physics'
552,1732635, 'Conservation Laws'
553,1732636,'Cosmology'
554,1732636, 'galaxies'
555,1732637,
556,1732638,
557,1732639,'Biological Science'
558,1732639, 'Anatomy'
559,1732639, 'Knee'
560,1732640,
561,1732641,'Economics'
562,1732641, 'Business Administration'
563,1732641, 'PRIME'
564,1732642,
565,1732643,
566,1732644,
567,1732645,'Universe'
568,1732645, 'Astronomy'
569,1732645, 'Space Science'
570,1732645, 'Stars'
571,1732646,
572,1732647,'Vacuum'
573,1732648,
574,1732649,'Atmospheric Sciences'
575,1732649, 'Meteorology'
576,1732649, 'Geoscience'
577,1732649, 'Wind'
578,1732650,'Quantitative Social Research'
579,1732650, 'Survey'
580,1732651,
581,1732652,
582,1732653,
583,1732654,
584,1732655,
585,1732656,'Universe'
586,1732656, 'Neutron Star'
587,1732656, 'Astronomy'
588,1732656, 'Space Science'
589,1732656, 'Stars'
590,1732656, 'Pulsars'
591,1732657,'Universe'
592,1732657, 'Astronomy'
593,1732657, 'Space Science'
594,1732657, 'Stars'
595,1732658,
596,1732659,'Universe'
597,1732659, 'Galaxy'
598,1732659, 'Astronomy'
599,1732659, 'Space Science'
600,1732659, 'Dust'
601,1732660,'Blood'
602,1732660, 'Medicine'
603,1732660, 'Hematology'
604,1732660, 'Plasma'
605,1732661,
606,1732662,
607,1732663,'Universe'
608,1732663, 'Variable Stars'
609,1732663, 'Astronomy'
610,1732663, 'Space Science'
611,1732663, 'Stars'
612,1732663, 'Cataclysmic Variables'
613,1732664,'Eye Anatomy'
614,1732664, 'Medicine'
615,1732664, 'Ophthalmology'
616,1732664, 'Orbit'
617,1732665,'Nuclear Science'
618,1732665, 'Radioactivity'
619,1732665, 'Physics'
620,1732665, 'Gamma Rays'
621,1732666,'Astrophysics'
622,1732666, 'Space Science'
623,1732666, 'Planetary Nebulae'
624,1732667,
625,1732668,'Cosmology'
626,1732668, 'galaxies'
627,1732669,'Universe'
628,1732669, 'Astronomy'
629,1732669, 'Space Science'
630,1732669, 'Stars'
631,1732669, 'Neutron Star'
632,1732670,
633,1732671,'Atmospheric Sciences'
634,1732671, 'Meteorology'
635,1732671, 'Geoscience'
636,1732671, 'Wind'
637,1732672,'Malacology'
638,1732672, 'Invertebrate Zoology'
639,1732672, 'Mollusca'
640,1732672, 'Bivalvia'
641,1732672, 'Faunistics'
642,1732672, 'Venus'
643,1732673,'Universe'
644,1732673, 'Neutron Star'
645,1732673, 'Astronomy'
646,1732673, 'Space Science'
647,1732673, 'Stars'
648,1732673, 'Pulsars'
649,1732674,'Numerical Methods'
650,1732674, 'Applied Mathematics'
651,1732674, 'Mathematics'
652,1732674, 'Numerical Modeling'
653,1732675,'Cosmology'
654,1732675, 'galaxies'
655,1732676,
656,1732677,
657,1732678,'Stars'
658,1732678, 'Universe'
659,1732678, 'Astronomy'
660,1732678, 'Space Science'
661,1732678, 'Variable Stars'
662,1732679,
663,1732680,'Energy'
664,1732680, 'Renewable Energy'
665,1732680, 'Renewable Energy Technologies'
666,1732680, 'Energy-Generating Resources'
667,1732680, 'Solar Energy'
668,1732680, 'Physics'
669,1732680, 'Solar'
670,1732681,
671,1732682,
672,1732683,
673,1732684,
674,1732685,'Physical Sciences'
675,1732685, 'Cosmology'
676,1732686,
677,1732687,'Quantitative Social Research'
678,1732687, 'Survey'
679,1732688,'Computing'
680,1732688, 'Computing Methodologies'
681,1732688, 'Computer Science and Engineering'
682,1732688, 'Distributed Computing'
683,1732688, 'Cloud'
684,1732689,'Atmospheric Sciences'
685,1732689, 'Geoscience'
686,1732689, 'Emission'
687,1732690,
688,1732691,
689,1732692,
690,1732693,
691,1732694,'Mixed States'
692,1732695,'Astrophysics'
693,1732695, 'Space Science'
694,1732695, 'Gamma-Ray Bursts'
695,1732696,
696,1732697,
697,1732698,'Supernovae'
698,1732698, 'Astrophysics'
699,1732698, 'Space Science'
700,1732698, 'Supernova Remnants'
701,1732699,'Space Science'
702,1732699, 'Astrophysics'
703,1732700,'Engineering'
704,1732700, 'Optical Interferometry'
